"Plot Title: 21126989"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 21126989, SEN S/N: 21126989)","Intensity, lum/ft² (LGR S/N: 21126989, SEN S/N: 21126989)","Stopped (LGR S/N: 21126989)","End Of File (LGR S/N: 21126989)"
1,06/03/22 08:00:00 AM,82.81,249.25,,
2,06/03/22 08:00:10 AM,82.65,273.51,,
3,06/03/22 08:00:20 AM,82.57,285.16,,
4,06/03/22 08:00:30 AM,82.50,278.62,,
5,06/03/22 08:00:40 AM,82.42,290.87,,
6,06/03/22 08:00:50 AM,82.42,300.74,,
7,06/03/22 08:01:00 AM,82.27,296.34,,
8,06/03/22 08:01:10 AM,82.27,314.53,,
9,06/03/22 08:01:20 AM,82.19,327.73,,
10,06/03/22 08:01:30 AM,82.19,290.03,,
11,06/03/22 08:01:40 AM,82.11,277.19,,
12,06/03/22 08:01:50 AM,82.11,309.18,,
13,06/03/22 08:02:00 AM,82.11,324.16,,
14,06/03/22 08:02:10 AM,82.03,341.76,,
15,06/03/22 08:02:20 AM,82.11,334.15,,
16,06/03/22 08:02:30 AM,81.96,336.77,,
17,06/03/22 08:02:40 AM,81.96,320.48,,
18,06/03/22 08:02:50 AM,81.96,323.33,,
19,06/03/22 08:03:00 AM,81.96,329.04,,
20,06/03/22 08:03:10 AM,81.96,325.47,,
21,06/03/22 08:03:20 AM,81.88,334.51,,
22,06/03/22 08:03:30 AM,81.88,341.41,,
23,06/03/22 08:03:40 AM,81.88,334.15,,
24,06/03/22 08:03:50 AM,81.88,350.56,,
25,06/03/22 08:04:00 AM,81.88,350.92,,
26,06/03/22 08:04:10 AM,81.88,351.63,,
27,06/03/22 08:04:20 AM,81.80,346.99,,
28,06/03/22 08:04:30 AM,81.88,344.97,,
29,06/03/22 08:04:40 AM,81.88,325.95,,
30,06/03/22 08:04:50 AM,81.96,337.12,,
31,06/03/22 08:05:00 AM,81.80,334.51,,
32,06/03/22 08:05:10 AM,81.88,347.59,,
33,06/03/22 08:05:20 AM,81.88,357.22,,
34,06/03/22 08:05:30 AM,81.80,357.82,,
35,06/03/22 08:05:40 AM,81.88,389.45,,
36,06/03/22 08:05:50 AM,81.88,369.71,,
37,06/03/22 08:06:00 AM,81.80,380.89,,
38,06/03/22 08:06:10 AM,81.88,361.50,,
39,06/03/22 08:06:20 AM,81.88,348.30,,
40,06/03/22 08:06:30 AM,81.80,395.99,,
41,06/03/22 08:06:40 AM,81.88,342.36,,
42,06/03/22 08:06:50 AM,81.88,290.03,,
43,06/03/22 08:07:00 AM,81.88,372.92,,
44,06/03/22 08:07:10 AM,81.88,344.02,,
45,06/03/22 08:07:20 AM,81.88,354.84,,
46,06/03/22 08:07:30 AM,81.88,330.70,,
47,06/03/22 08:07:40 AM,81.96,360.79,,
48,06/03/22 08:07:50 AM,81.88,344.97,,
49,06/03/22 08:08:00 AM,81.88,364.12,,
50,06/03/22 08:08:10 AM,81.88,269.82,,
51,06/03/22 08:08:20 AM,81.88,358.77,,
52,06/03/22 08:08:30 AM,81.80,317.86,,
53,06/03/22 08:08:40 AM,81.88,329.87,,
54,06/03/22 08:08:50 AM,81.73,334.15,,
55,06/03/22 08:09:00 AM,81.80,328.09,,
56,06/03/22 08:09:10 AM,81.80,281.47,,
57,06/03/22 08:09:20 AM,81.73,276.72,,
58,06/03/22 08:09:30 AM,81.73,264.94,,
59,06/03/22 08:09:40 AM,81.65,236.64,,
60,06/03/22 08:09:50 AM,81.65,264.94,,
61,06/03/22 08:10:00 AM,81.73,272.79,,
62,06/03/22 08:10:10 AM,81.73,206.56,,
63,06/03/22 08:10:20 AM,81.57,268.99,,
64,06/03/22 08:10:30 AM,81.65,261.14,,
65,06/03/22 08:10:40 AM,81.65,272.91,,
66,06/03/22 08:10:50 AM,81.65,275.41,,
67,06/03/22 08:11:00 AM,81.73,288.96,,
68,06/03/22 08:11:10 AM,81.73,380.17,,
69,06/03/22 08:11:20 AM,81.73,357.22,,
70,06/03/22 08:11:30 AM,81.88,339.03,,
71,06/03/22 08:11:40 AM,81.88,185.15,,
72,06/03/22 08:11:50 AM,81.80,156.31,,
73,06/03/22 08:12:00 AM,81.80,135.03,,
74,06/03/22 08:12:10 AM,81.73,131.46,,
75,06/03/22 08:12:20 AM,81.80,128.90,,
76,06/03/22 08:12:30 AM,81.88,133.84,,
77,06/03/22 08:12:40 AM,81.80,135.80,,
78,06/03/22 08:12:50 AM,81.80,130.15,,
79,06/03/22 08:13:00 AM,81.80,142.22,,
80,06/03/22 08:13:10 AM,81.88,176.59,,
81,06/03/22 08:13:20 AM,81.88,182.18,,
82,06/03/22 08:13:30 AM,81.88,191.57,,
83,06/03/22 08:13:40 AM,81.88,203.29,,
84,06/03/22 08:13:50 AM,81.96,259.59,,
85,06/03/22 08:14:00 AM,82.11,386.83,,
86,06/03/22 08:14:10 AM,82.11,450.93,,
87,06/03/22 08:14:20 AM,82.19,429.17,,
88,06/03/22 08:14:30 AM,82.27,417.75,,
89,06/03/22 08:14:40 AM,82.34,261.49,,
90,06/03/22 08:14:50 AM,82.27,317.39,,
91,06/03/22 08:15:00 AM,82.42,247.94,,
