"Plot Title: 21407816"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 21407816, SEN S/N: 21407816)","Intensity, lum/ft² (LGR S/N: 21407816, SEN S/N: 21407816)","Stopped (LGR S/N: 21407816)","End Of File (LGR S/N: 21407816)"
1,07/14/22 02:00:00 PM,85.59,18.41,,
2,07/14/22 02:00:10 PM,85.66,18.26,,
3,07/14/22 02:00:20 PM,85.82,18.26,,
4,07/14/22 02:00:30 PM,85.97,18.34,,
5,07/14/22 02:00:40 PM,85.97,18.18,,
6,07/14/22 02:00:50 PM,86.20,136.75,,
7,07/14/22 02:01:00 PM,86.36,140.74,,
8,07/14/22 02:01:10 PM,86.59,148.05,,
9,07/14/22 02:01:20 PM,86.74,122.19,,
10,07/14/22 02:01:30 PM,86.90,67.31,,
11,07/14/22 02:01:40 PM,86.98,17.89,,
12,07/14/22 02:01:50 PM,87.05,138.95,,
13,07/14/22 02:02:00 PM,87.21,55.86,,
14,07/14/22 02:02:10 PM,87.44,55.86,,
15,07/14/22 02:02:20 PM,87.44,55.93,,
16,07/14/22 02:02:30 PM,87.67,56.01,,
17,07/14/22 02:02:40 PM,87.75,56.25,,
18,07/14/22 02:02:50 PM,87.90,56.17,,
19,07/14/22 02:03:00 PM,87.98,56.41,,
20,07/14/22 02:03:10 PM,88.13,56.56,,
21,07/14/22 02:03:20 PM,88.21,56.41,,
22,07/14/22 02:03:30 PM,88.37,56.56,,
23,07/14/22 02:03:40 PM,88.44,56.56,,
24,07/14/22 02:03:50 PM,88.52,56.71,,
25,07/14/22 02:04:00 PM,88.60,56.56,,
26,07/14/22 02:04:10 PM,88.75,56.71,,
27,07/14/22 02:04:20 PM,88.83,56.63,,
28,07/14/22 02:04:30 PM,89.06,57.11,,
29,07/14/22 02:04:40 PM,89.14,57.11,,
30,07/14/22 02:04:50 PM,89.22,92.25,,
31,07/14/22 02:05:00 PM,89.37,79.17,,
32,07/14/22 02:05:10 PM,89.45,81.87,,
33,07/14/22 02:05:20 PM,89.52,80.86,,
34,07/14/22 02:05:30 PM,89.60,79.61,,
35,07/14/22 02:05:40 PM,89.68,8.87,,
36,07/14/22 02:05:50 PM,89.76,8.78,,
37,07/14/22 02:06:00 PM,89.83,8.70,,
38,07/14/22 02:06:10 PM,89.91,8.70,,
39,07/14/22 02:06:20 PM,89.91,8.70,,
40,07/14/22 02:06:30 PM,89.91,8.63,,
41,07/14/22 02:06:40 PM,90.06,8.55,,
42,07/14/22 02:06:50 PM,90.06,8.55,,
43,07/14/22 02:07:00 PM,90.22,8.55,,
44,07/14/22 02:07:10 PM,90.14,8.55,,
45,07/14/22 02:07:20 PM,90.30,8.55,,
46,07/14/22 02:07:30 PM,90.30,8.55,,
47,07/14/22 02:07:40 PM,90.45,8.78,,
48,07/14/22 02:07:50 PM,90.45,8.78,,
49,07/14/22 02:08:00 PM,90.53,8.78,,
50,07/14/22 02:08:10 PM,90.53,8.70,,
51,07/14/22 02:08:20 PM,90.68,8.78,,
52,07/14/22 02:08:30 PM,90.68,8.39,,
53,07/14/22 02:08:40 PM,90.61,12.62,,
54,07/14/22 02:08:50 PM,90.76,16.38,,
55,07/14/22 02:09:00 PM,90.84,11.91,,
56,07/14/22 02:09:10 PM,90.84,16.84,,
57,07/14/22 02:09:20 PM,90.91,8.86,,
58,07/14/22 02:09:30 PM,90.91,8.47,,
59,07/14/22 02:09:40 PM,90.99,9.02,,
60,07/14/22 02:09:50 PM,91.07,11.60,,
61,07/14/22 02:10:00 PM,91.15,10.58,,
62,07/14/22 02:10:10 PM,91.15,15.04,,
63,07/14/22 02:10:20 PM,91.22,13.08,,
64,07/14/22 02:10:30 PM,91.22,8.86,,
65,07/14/22 02:10:40 PM,91.38,8.55,,
66,07/14/22 02:10:50 PM,91.38,8.55,,
67,07/14/22 02:11:00 PM,91.38,8.39,,
68,07/14/22 02:11:10 PM,91.45,8.55,,
69,07/14/22 02:11:20 PM,91.38,8.00,,
70,07/14/22 02:11:30 PM,91.53,8.00,,
71,07/14/22 02:11:40 PM,91.53,8.00,,
72,07/14/22 02:11:50 PM,91.61,20.93,,
73,07/14/22 02:12:00 PM,91.61,20.70,,
74,07/14/22 02:12:10 PM,91.69,20.62,,
75,07/14/22 02:12:20 PM,91.69,20.62,,
76,07/14/22 02:12:30 PM,91.76,20.62,,
77,07/14/22 02:12:40 PM,91.84,20.60,,
78,07/14/22 02:12:50 PM,91.84,20.53,,
79,07/14/22 02:13:00 PM,91.92,20.45,,
