"Plot Title: 20937885"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20937885, SEN S/N: 20937885)","Intensity, lum/ft² (LGR S/N: 20937885, SEN S/N: 20937885)","Stopped (LGR S/N: 20937885)","End Of File (LGR S/N: 20937885)"
1,07/18/22 02:00:00 PM,79.49,566.27,,
2,07/18/22 02:00:10 PM,79.87,568.18,,
3,07/18/22 02:00:20 PM,80.03,572.22,,
4,07/18/22 02:00:30 PM,80.26,572.22,,
5,07/18/22 02:00:40 PM,80.57,550.82,,
6,07/18/22 02:00:50 PM,80.88,545.58,,
7,07/18/22 02:01:00 PM,81.11,543.44,,
8,07/18/22 02:01:10 PM,81.34,543.68,,
9,07/18/22 02:01:20 PM,81.57,311.44,,
10,07/18/22 02:01:30 PM,81.73,173.74,,
11,07/18/22 02:01:40 PM,81.80,171.89,,
12,07/18/22 02:01:50 PM,81.96,173.32,,
13,07/18/22 02:02:00 PM,82.11,174.39,,
14,07/18/22 02:02:10 PM,82.34,173.44,,
15,07/18/22 02:02:20 PM,82.42,173.74,,
16,07/18/22 02:02:30 PM,82.57,173.74,,
17,07/18/22 02:02:40 PM,82.73,173.32,,
18,07/18/22 02:02:50 PM,82.88,173.32,,
19,07/18/22 02:03:00 PM,83.04,176.35,,
20,07/18/22 02:03:10 PM,83.27,175.58,,
21,07/18/22 02:03:20 PM,83.42,175.58,,
22,07/18/22 02:03:30 PM,83.50,174.51,,
23,07/18/22 02:03:40 PM,83.66,175.10,,
24,07/18/22 02:03:50 PM,83.89,174.03,,
25,07/18/22 02:04:00 PM,83.89,169.63,,
26,07/18/22 02:04:10 PM,84.20,461.27,,
27,07/18/22 02:04:20 PM,84.58,543.92,,
28,07/18/22 02:04:30 PM,84.74,542.49,,
29,07/18/22 02:04:40 PM,85.05,542.73,,
30,07/18/22 02:04:50 PM,85.35,546.06,,
31,07/18/22 02:05:00 PM,85.51,509.43,,
32,07/18/22 02:05:10 PM,85.74,535.83,,
33,07/18/22 02:05:20 PM,86.05,531.79,,
34,07/18/22 02:05:30 PM,86.28,541.78,,
35,07/18/22 02:05:40 PM,86.44,532.03,,
36,07/18/22 02:05:50 PM,86.67,543.68,,
37,07/18/22 02:06:00 PM,86.82,200.67,,
38,07/18/22 02:06:10 PM,86.98,371.02,,
39,07/18/22 02:06:20 PM,87.13,453.90,,
40,07/18/22 02:06:30 PM,87.44,432.85,,
41,07/18/22 02:06:40 PM,87.59,407.40,,
42,07/18/22 02:06:50 PM,87.75,397.65,,
43,07/18/22 02:07:00 PM,87.90,137.23,,
44,07/18/22 02:07:10 PM,88.06,464.60,,
45,07/18/22 02:07:20 PM,88.21,486.24,,
46,07/18/22 02:07:30 PM,88.44,314.53,,
47,07/18/22 02:07:40 PM,88.60,338.08,,
48,07/18/22 02:07:50 PM,88.68,143.35,,
49,07/18/22 02:08:00 PM,88.83,97.57,,
50,07/18/22 02:08:10 PM,88.98,400.74,,
51,07/18/22 02:08:20 PM,89.06,100.33,,
52,07/18/22 02:08:30 PM,89.22,418.70,,
53,07/18/22 02:08:40 PM,89.37,465.20,,
54,07/18/22 02:08:50 PM,89.52,468.29,,
55,07/18/22 02:09:00 PM,89.68,450.57,,
56,07/18/22 02:09:10 PM,89.83,466.98,,
57,07/18/22 02:09:20 PM,89.99,464.25,,
58,07/18/22 02:09:30 PM,90.06,444.15,,
59,07/18/22 02:09:40 PM,90.22,457.59,,
60,07/18/22 02:09:50 PM,90.45,449.86,,
61,07/18/22 02:10:00 PM,90.45,120.97,,
62,07/18/22 02:10:10 PM,90.53,155.90,,
63,07/18/22 02:10:20 PM,90.76,353.89,,
64,07/18/22 02:10:30 PM,90.84,455.09,,
65,07/18/22 02:10:40 PM,90.99,449.86,,
66,07/18/22 02:10:50 PM,91.22,465.55,,
67,07/18/22 02:11:00 PM,91.38,478.40,,
68,07/18/22 02:11:10 PM,91.61,477.68,,
69,07/18/22 02:11:20 PM,91.76,474.35,,
70,07/18/22 02:11:30 PM,91.84,448.67,,
71,07/18/22 02:11:40 PM,92.00,151.62,,
72,07/18/22 02:11:50 PM,92.00,452.00,,
73,07/18/22 02:12:00 PM,92.15,458.78,,
74,07/18/22 02:12:10 PM,92.38,508.48,,
75,07/18/22 02:12:20 PM,92.54,377.20,,
76,07/18/22 02:12:30 PM,92.61,365.90,,
77,07/18/22 02:12:40 PM,92.69,327.02,,
78,07/18/22 02:12:50 PM,92.92,356.63,,
79,07/18/22 02:13:00 PM,93.00,420.25,,
80,07/18/22 02:13:10 PM,93.15,393.61,,
81,07/18/22 02:13:20 PM,93.31,441.29,,
82,07/18/22 02:13:30 PM,93.54,430.35,,
83,07/18/22 02:13:40 PM,93.69,456.28,,
84,07/18/22 02:13:50 PM,93.77,439.51,,
85,07/18/22 02:14:00 PM,93.85,415.01,,
86,07/18/22 02:14:10 PM,94.00,399.20,,
87,07/18/22 02:14:20 PM,94.08,410.73,,
88,07/18/22 02:14:30 PM,94.31,399.79,,
89,07/18/22 02:14:40 PM,94.39,405.62,,
90,07/18/22 02:14:50 PM,94.47,414.78,,
91,07/18/22 02:15:00 PM,94.62,404.31,,
92,07/18/22 02:15:10 PM,94.62,218.69,,
93,07/18/22 02:15:20 PM,94.62,161.67,,
94,07/18/22 02:15:30 PM,94.70,293.96,,
95,07/18/22 02:15:40 PM,94.78,382.07,,
96,07/18/22 02:15:50 PM,94.85,393.97,,
97,07/18/22 02:16:00 PM,94.93,398.84,,
98,07/18/22 02:16:10 PM,95.01,401.58,,
99,07/18/22 02:16:20 PM,95.08,393.37,,
100,07/18/22 02:16:30 PM,95.16,439.27,,
101,07/18/22 02:16:40 PM,95.16,434.99,,
102,07/18/22 02:16:50 PM,95.39,447.12,,
103,07/18/22 02:17:00 PM,95.47,456.28,,
104,07/18/22 02:17:10 PM,95.47,452.95,,
105,07/18/22 02:17:20 PM,95.55,447.48,,
106,07/18/22 02:17:30 PM,95.55,461.27,,
107,07/18/22 02:17:40 PM,95.70,446.53,,
108,07/18/22 02:17:50 PM,95.86,407.40,,
109,07/18/22 02:18:00 PM,95.78,460.92,,
110,07/18/22 02:18:10 PM,95.86,518.95,,
111,07/18/22 02:18:20 PM,96.01,486.24,,
112,07/18/22 02:18:30 PM,96.09,486.24,,
113,07/18/22 02:18:40 PM,96.09,396.70,,
114,07/18/22 02:18:50 PM,96.17,393.97,,
115,07/18/22 02:19:00 PM,96.24,483.51,,
116,07/18/22 02:19:10 PM,96.24,469.12,,
117,07/18/22 02:19:20 PM,96.32,469.12,,
118,07/18/22 02:19:30 PM,96.32,480.18,,
119,07/18/22 02:19:40 PM,96.40,489.69,,
120,07/18/22 02:19:50 PM,96.47,500.87,,
121,07/18/22 02:20:00 PM,96.55,502.06,,
122,07/18/22 02:20:10 PM,96.63,475.90,,
123,07/18/22 02:20:20 PM,96.63,487.79,,
124,07/18/22 02:20:30 PM,96.55,482.68,,
125,07/18/22 02:20:40 PM,96.55,478.40,,
126,07/18/22 02:20:50 PM,96.63,481.73,,
127,07/18/22 02:21:00 PM,96.55,386.36,,
128,07/18/22 02:21:10 PM,96.63,372.56,,
129,07/18/22 02:21:20 PM,96.63,410.73,,
130,07/18/22 02:21:30 PM,96.63,479.23,,
131,07/18/22 02:21:40 PM,96.78,468.88,,
132,07/18/22 02:21:50 PM,96.78,483.51,,
133,07/18/22 02:22:00 PM,96.78,486.01,,
134,07/18/22 02:22:10 PM,96.86,491.36,,
135,07/18/22 02:22:20 PM,96.94,488.74,,
136,07/18/22 02:22:30 PM,97.01,490.41,,
137,07/18/22 02:22:40 PM,97.01,493.50,,
138,07/18/22 02:22:50 PM,97.09,486.01,,
139,07/18/22 02:23:00 PM,97.17,489.93,,
140,07/18/22 02:23:10 PM,97.25,487.55,,
141,07/18/22 02:23:20 PM,97.25,484.46,,
142,07/18/22 02:23:30 PM,97.32,481.73,,
143,07/18/22 02:23:40 PM,97.32,483.87,,
144,07/18/22 02:23:50 PM,97.48,491.83,,
145,07/18/22 02:24:00 PM,97.56,495.40,,
146,07/18/22 02:24:10 PM,97.63,499.44,,
147,07/18/22 02:24:20 PM,97.71,499.68,,
148,07/18/22 02:24:30 PM,97.79,498.97,,
149,07/18/22 02:24:40 PM,97.86,499.68,,
150,07/18/22 02:24:50 PM,98.02,497.78,,
151,07/18/22 02:25:00 PM,98.02,493.50,,
152,07/18/22 02:25:10 PM,98.10,490.88,,
153,07/18/22 02:25:20 PM,98.02,490.41,,
154,07/18/22 02:25:30 PM,98.17,486.84,,
155,07/18/22 02:25:40 PM,98.10,485.06,,
156,07/18/22 02:25:50 PM,98.17,486.60,,
157,07/18/22 02:26:00 PM,98.17,492.31,,
158,07/18/22 02:26:10 PM,98.17,488.27,,
159,07/18/22 02:26:20 PM,98.17,488.98,,
160,07/18/22 02:26:30 PM,98.17,485.06,,
161,07/18/22 02:26:40 PM,98.25,489.69,,
162,07/18/22 02:26:50 PM,98.25,488.98,,
163,07/18/22 02:27:00 PM,98.17,485.65,,
164,07/18/22 02:27:10 PM,98.17,489.93,,
165,07/18/22 02:27:20 PM,98.10,493.26,,
166,07/18/22 02:27:30 PM,98.17,492.07,,
167,07/18/22 02:27:40 PM,98.10,483.51,,
168,07/18/22 02:27:50 PM,98.10,484.82,,
169,07/18/22 02:28:00 PM,98.02,503.25,,
170,07/18/22 02:28:10 PM,97.94,515.38,,
171,07/18/22 02:28:20 PM,98.10,530.84,,
172,07/18/22 02:28:30 PM,98.02,414.78,,
173,07/18/22 02:28:40 PM,98.02,383.62,,
174,07/18/22 02:28:50 PM,97.94,377.44,,
175,07/18/22 02:29:00 PM,98.02,374.11,,
176,07/18/22 02:29:10 PM,97.94,387.55,,
177,07/18/22 02:29:20 PM,98.02,350.56,,
178,07/18/22 02:29:30 PM,98.02,357.34,,
179,07/18/22 02:29:40 PM,98.02,362.45,,
180,07/18/22 02:29:50 PM,97.94,371.37,,
181,07/18/22 02:30:00 PM,97.94,445.58,,
182,07/18/22 02:30:10 PM,98.02,548.20,,
183,07/18/22 02:30:20 PM,98.10,499.68,,
184,07/18/22 02:30:30 PM,98.02,505.15,,
185,07/18/22 02:30:40 PM,98.17,495.16,,
186,07/18/22 02:30:50 PM,98.17,486.24,,
187,07/18/22 02:31:00 PM,98.17,494.45,,
188,07/18/22 02:31:10 PM,98.17,478.04,,
189,07/18/22 02:31:20 PM,98.10,526.32,,
190,07/18/22 02:31:30 PM,98.02,507.29,,
191,07/18/22 02:31:40 PM,97.94,484.46,,
192,07/18/22 02:31:50 PM,97.86,542.73,,
193,07/18/22 02:32:00 PM,97.79,517.04,,
