"Plot Title: 20983689"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20983689, SEN S/N: 20983689)","Intensity, lum/ft² (LGR S/N: 20983689, SEN S/N: 20983689)","Stopped (LGR S/N: 20983689)","End Of File (LGR S/N: 20983689)"
1,07/18/22 02:00:00 PM,81.18,17.17,,
2,07/18/22 02:00:10 PM,81.18,17.17,,
3,07/18/22 02:00:20 PM,81.26,17.32,,
4,07/18/22 02:00:30 PM,81.34,17.32,,
5,07/18/22 02:00:40 PM,81.42,16.76,,
6,07/18/22 02:00:50 PM,81.49,16.47,,
7,07/18/22 02:01:00 PM,81.49,16.53,,
8,07/18/22 02:01:10 PM,81.65,16.22,,
9,07/18/22 02:01:20 PM,81.65,11.31,,
10,07/18/22 02:01:30 PM,81.73,6.24,,
11,07/18/22 02:01:40 PM,81.80,5.84,,
12,07/18/22 02:01:50 PM,81.88,5.88,,
13,07/18/22 02:02:00 PM,81.88,5.80,,
14,07/18/22 02:02:10 PM,81.96,5.61,,
15,07/18/22 02:02:20 PM,82.03,5.57,,
16,07/18/22 02:02:30 PM,82.19,5.61,,
17,07/18/22 02:02:40 PM,82.27,5.53,,
18,07/18/22 02:02:50 PM,82.34,5.49,,
19,07/18/22 02:03:00 PM,82.42,5.57,,
20,07/18/22 02:03:10 PM,82.50,5.53,,
21,07/18/22 02:03:20 PM,82.57,5.45,,
22,07/18/22 02:03:30 PM,82.73,5.37,,
23,07/18/22 02:03:40 PM,82.81,5.37,,
24,07/18/22 02:03:50 PM,82.96,5.33,,
25,07/18/22 02:04:00 PM,83.12,5.22,,
26,07/18/22 02:04:10 PM,83.19,21.29,,
27,07/18/22 02:04:20 PM,83.27,11.24,,
28,07/18/22 02:04:30 PM,83.42,11.39,,
29,07/18/22 02:04:40 PM,83.42,11.39,,
30,07/18/22 02:04:50 PM,83.66,11.62,,
31,07/18/22 02:05:00 PM,83.73,11.24,,
32,07/18/22 02:05:10 PM,83.81,11.62,,
33,07/18/22 02:05:20 PM,83.89,11.62,,
34,07/18/22 02:05:30 PM,84.04,11.86,,
35,07/18/22 02:05:40 PM,84.12,11.78,,
36,07/18/22 02:05:50 PM,84.20,11.94,,
37,07/18/22 02:06:00 PM,84.35,6.87,,
38,07/18/22 02:06:10 PM,84.51,8.89,,
39,07/18/22 02:06:20 PM,84.58,11.55,,
40,07/18/22 02:06:30 PM,84.74,10.77,,
41,07/18/22 02:06:40 PM,84.74,11.47,,
42,07/18/22 02:06:50 PM,84.97,9.91,,
43,07/18/22 02:07:00 PM,85.12,5.62,,
44,07/18/22 02:07:10 PM,85.12,10.45,,
45,07/18/22 02:07:20 PM,85.20,9.21,,
46,07/18/22 02:07:30 PM,85.43,9.67,,
47,07/18/22 02:07:40 PM,85.51,9.91,,
48,07/18/22 02:07:50 PM,85.51,12.76,,
49,07/18/22 02:08:00 PM,85.66,4.96,,
50,07/18/22 02:08:10 PM,85.82,10.15,,
51,07/18/22 02:08:20 PM,85.90,5.70,,
52,07/18/22 02:08:30 PM,86.13,10.93,,
53,07/18/22 02:08:40 PM,86.13,12.41,,
54,07/18/22 02:08:50 PM,86.28,12.56,,
55,07/18/22 02:09:00 PM,86.44,12.10,,
56,07/18/22 02:09:10 PM,86.59,12.56,,
57,07/18/22 02:09:20 PM,86.59,12.49,,
58,07/18/22 02:09:30 PM,86.74,11.87,,
59,07/18/22 02:09:40 PM,86.82,12.41,,
60,07/18/22 02:09:50 PM,86.90,12.10,,
61,07/18/22 02:10:00 PM,87.05,5.58,,
62,07/18/22 02:10:10 PM,87.21,4.17,,
63,07/18/22 02:10:20 PM,87.21,5.38,,
64,07/18/22 02:10:30 PM,87.36,12.17,,
65,07/18/22 02:10:40 PM,87.44,12.10,,
66,07/18/22 02:10:50 PM,87.59,12.41,,
67,07/18/22 02:11:00 PM,87.67,12.72,,
68,07/18/22 02:11:10 PM,87.67,12.72,,
69,07/18/22 02:11:20 PM,87.83,12.72,,
70,07/18/22 02:11:30 PM,87.90,12.17,,
71,07/18/22 02:11:40 PM,87.98,4.33,,
72,07/18/22 02:11:50 PM,88.21,13.59,,
73,07/18/22 02:12:00 PM,88.29,13.74,,
74,07/18/22 02:12:10 PM,88.37,11.16,,
75,07/18/22 02:12:20 PM,88.44,12.42,,
76,07/18/22 02:12:30 PM,88.52,11.33,,
77,07/18/22 02:12:40 PM,88.68,10.78,,
78,07/18/22 02:12:50 PM,88.75,11.48,,
79,07/18/22 02:13:00 PM,88.91,20.07,,
80,07/18/22 02:13:10 PM,88.98,20.77,,
81,07/18/22 02:13:20 PM,89.14,15.70,,
82,07/18/22 02:13:30 PM,89.14,14.68,,
83,07/18/22 02:13:40 PM,89.29,15.47,,
84,07/18/22 02:13:50 PM,89.45,19.20,,
85,07/18/22 02:14:00 PM,89.45,14.99,,
86,07/18/22 02:14:10 PM,89.60,12.57,,
87,07/18/22 02:14:20 PM,89.68,12.73,,
88,07/18/22 02:14:30 PM,89.76,12.57,,
89,07/18/22 02:14:40 PM,89.83,12.57,,
90,07/18/22 02:14:50 PM,89.99,13.59,,
91,07/18/22 02:15:00 PM,90.06,16.55,,
92,07/18/22 02:15:10 PM,90.22,8.52,,
93,07/18/22 02:15:20 PM,90.30,13.34,,
94,07/18/22 02:15:30 PM,90.37,13.88,,
95,07/18/22 02:15:40 PM,90.37,15.39,,
96,07/18/22 02:15:50 PM,90.53,15.31,,
97,07/18/22 02:16:00 PM,90.61,15.47,,
98,07/18/22 02:16:10 PM,90.76,15.21,,
99,07/18/22 02:16:20 PM,90.84,16.47,,
100,07/18/22 02:16:30 PM,90.91,20.13,,
101,07/18/22 02:16:40 PM,90.99,21.15,,
102,07/18/22 02:16:50 PM,91.07,22.65,,
103,07/18/22 02:17:00 PM,91.15,22.47,,
104,07/18/22 02:17:10 PM,91.30,20.85,,
