"Plot Title: 20983766"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20983766, SEN S/N: 20983766)","Intensity, lum/ft² (LGR S/N: 20983766, SEN S/N: 20983766)","Stopped (LGR S/N: 20983766)","End Of File (LGR S/N: 20983766)"
1,07/18/22 02:00:00 PM,81.03,163.51,,
2,07/18/22 02:00:10 PM,81.11,163.92,,
3,07/18/22 02:00:20 PM,81.34,165.00,,
4,07/18/22 02:00:30 PM,81.49,165.89,,
5,07/18/22 02:00:40 PM,81.49,55.55,,
6,07/18/22 02:00:50 PM,81.57,55.40,,
7,07/18/22 02:01:00 PM,81.73,55.33,,
8,07/18/22 02:01:10 PM,81.96,55.10,,
9,07/18/22 02:01:20 PM,82.03,17.89,,
10,07/18/22 02:01:30 PM,82.27,126.23,,
11,07/18/22 02:01:40 PM,82.42,126.82,,
12,07/18/22 02:01:50 PM,82.65,131.40,,
13,07/18/22 02:02:00 PM,82.73,132.65,,
14,07/18/22 02:02:10 PM,82.96,136.51,,
15,07/18/22 02:02:20 PM,83.12,136.75,,
16,07/18/22 02:02:30 PM,83.35,137.64,,
17,07/18/22 02:02:40 PM,83.35,149.30,,
18,07/18/22 02:02:50 PM,83.58,151.68,,
19,07/18/22 02:03:00 PM,83.73,155.54,,
20,07/18/22 02:03:10 PM,84.04,164.22,,
21,07/18/22 02:03:20 PM,84.12,168.38,,
22,07/18/22 02:03:30 PM,84.35,166.60,,
23,07/18/22 02:03:40 PM,84.58,176.95,,
24,07/18/22 02:03:50 PM,84.74,174.27,,
25,07/18/22 02:04:00 PM,84.89,171.48,,
26,07/18/22 02:04:10 PM,85.05,115.08,,
27,07/18/22 02:04:20 PM,85.05,43.46,,
28,07/18/22 02:04:30 PM,85.20,43.17,,
29,07/18/22 02:04:40 PM,85.20,43.02,,
30,07/18/22 02:04:50 PM,85.35,42.87,,
31,07/18/22 02:05:00 PM,85.51,42.87,,
32,07/18/22 02:05:10 PM,85.74,43.17,,
33,07/18/22 02:05:20 PM,85.82,43.17,,
34,07/18/22 02:05:30 PM,85.97,43.24,,
35,07/18/22 02:05:40 PM,86.05,42.94,,
36,07/18/22 02:05:50 PM,86.20,42.94,,
37,07/18/22 02:06:00 PM,86.20,34.44,,
38,07/18/22 02:06:10 PM,86.36,87.82,,
39,07/18/22 02:06:20 PM,86.51,106.37,,
40,07/18/22 02:06:30 PM,86.67,65.17,,
41,07/18/22 02:06:40 PM,86.82,109.16,,
42,07/18/22 02:06:50 PM,86.90,50.45,,
43,07/18/22 02:07:00 PM,87.05,67.54,,
44,07/18/22 02:07:10 PM,87.13,91.30,,
45,07/18/22 02:07:20 PM,87.36,153.88,,
46,07/18/22 02:07:30 PM,87.52,180.34,,
47,07/18/22 02:07:40 PM,87.83,181.70,,
48,07/18/22 02:07:50 PM,87.98,131.34,,
49,07/18/22 02:08:00 PM,88.13,12.06,,
50,07/18/22 02:08:10 PM,88.13,39.58,,
51,07/18/22 02:08:20 PM,88.13,39.21,,
52,07/18/22 02:08:30 PM,88.29,37.65,,
53,07/18/22 02:08:40 PM,88.37,38.69,,
54,07/18/22 02:08:50 PM,88.60,38.62,,
55,07/18/22 02:09:00 PM,88.60,38.62,,
56,07/18/22 02:09:10 PM,88.83,38.54,,
57,07/18/22 02:09:20 PM,88.83,38.47,,
58,07/18/22 02:09:30 PM,88.91,38.32,,
59,07/18/22 02:09:40 PM,88.98,38.69,,
60,07/18/22 02:09:50 PM,89.14,37.87,,
61,07/18/22 02:10:00 PM,89.22,36.39,,
62,07/18/22 02:10:10 PM,89.37,28.01,,
63,07/18/22 02:10:20 PM,89.45,32.26,,
64,07/18/22 02:10:30 PM,89.52,36.92,,
65,07/18/22 02:10:40 PM,89.60,36.92,,
66,07/18/22 02:10:50 PM,89.83,36.70,,
67,07/18/22 02:11:00 PM,89.83,36.92,,
68,07/18/22 02:11:10 PM,89.91,37.07,,
69,07/18/22 02:11:20 PM,90.06,37.15,,
70,07/18/22 02:11:30 PM,90.14,36.51,,
71,07/18/22 02:11:40 PM,90.14,18.11,,
72,07/18/22 02:11:50 PM,90.30,37.00,,
73,07/18/22 02:12:00 PM,90.45,37.22,,
74,07/18/22 02:12:10 PM,90.53,64.15,,
75,07/18/22 02:12:20 PM,90.61,25.09,,
76,07/18/22 02:12:30 PM,90.61,23.58,,
77,07/18/22 02:12:40 PM,90.76,22.16,,
78,07/18/22 02:12:50 PM,90.84,22.16,,
79,07/18/22 02:13:00 PM,90.99,28.99,,
80,07/18/22 02:13:10 PM,90.99,30.32,,
81,07/18/22 02:13:20 PM,91.15,33.31,,
82,07/18/22 02:13:30 PM,91.22,33.85,,
83,07/18/22 02:13:40 PM,91.30,33.53,,
84,07/18/22 02:13:50 PM,91.38,31.68,,
85,07/18/22 02:14:00 PM,91.53,26.50,,
86,07/18/22 02:14:10 PM,91.53,25.17,,
87,07/18/22 02:14:20 PM,91.69,25.30,,
88,07/18/22 02:14:30 PM,91.69,25.00,,
89,07/18/22 02:14:40 PM,91.84,25.08,,
90,07/18/22 02:14:50 PM,91.84,25.39,,
91,07/18/22 02:15:00 PM,92.00,26.28,,
92,07/18/22 02:15:10 PM,92.07,25.69,,
93,07/18/22 02:15:20 PM,92.15,25.54,,
94,07/18/22 02:15:30 PM,92.23,25.61,,
95,07/18/22 02:15:40 PM,92.30,25.46,,
96,07/18/22 02:15:50 PM,92.38,25.54,,
97,07/18/22 02:16:00 PM,92.46,25.61,,
98,07/18/22 02:16:10 PM,92.54,25.46,,
99,07/18/22 02:16:20 PM,92.61,25.98,,
100,07/18/22 02:16:30 PM,92.69,28.38,,
101,07/18/22 02:16:40 PM,92.77,28.68,,
102,07/18/22 02:16:50 PM,92.84,29.36,,
103,07/18/22 02:17:00 PM,93.00,29.74,,
104,07/18/22 02:17:10 PM,93.00,30.35,,
105,07/18/22 02:17:20 PM,93.08,30.40,,
106,07/18/22 02:17:30 PM,93.23,30.78,,
107,07/18/22 02:17:40 PM,93.23,30.03,,
108,07/18/22 02:17:50 PM,93.31,29.74,,
109,07/18/22 02:18:00 PM,93.46,33.24,,
110,07/18/22 02:18:10 PM,93.46,69.21,,
111,07/18/22 02:18:20 PM,93.85,182.89,,
112,07/18/22 02:18:30 PM,94.00,169.87,,
113,07/18/22 02:18:40 PM,94.00,37.18,,
114,07/18/22 02:18:50 PM,94.00,40.61,,
115,07/18/22 02:19:00 PM,94.08,166.18,,
116,07/18/22 02:19:10 PM,94.31,192.05,,
117,07/18/22 02:19:20 PM,94.47,191.16,,
118,07/18/22 02:19:30 PM,94.70,191.87,,
119,07/18/22 02:19:40 PM,94.78,190.56,,
