"Plot Title: 20937885"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20937885, SEN S/N: 20937885)","Intensity, lum/ft² (LGR S/N: 20937885, SEN S/N: 20937885)","Stopped (LGR S/N: 20937885)","End Of File (LGR S/N: 20937885)"
1,08/27/22 01:00:00 PM,93.77,90.61,,
2,08/27/22 01:00:20 PM,93.69,103.07,,
3,08/27/22 01:00:40 PM,93.54,115.53,,
4,08/27/22 01:01:00 PM,93.31,115.91,,
5,08/27/22 01:01:20 PM,93.15,115.67,,
6,08/27/22 01:01:40 PM,93.08,115.67,,
7,08/27/22 01:02:00 PM,92.92,106.22,,
8,08/27/22 01:02:20 PM,92.84,109.58,,
9,08/27/22 01:02:40 PM,92.84,107.59,,
10,08/27/22 01:03:00 PM,92.77,115.85,,
11,08/27/22 01:03:20 PM,92.61,116.21,,
12,08/27/22 01:03:40 PM,92.54,93.68,,
13,08/27/22 01:04:00 PM,92.61,115.47,,
14,08/27/22 01:04:20 PM,92.54,109.28,,
15,08/27/22 01:04:40 PM,92.46,79.17,,
16,08/27/22 01:05:00 PM,92.46,100.72,,
17,08/27/22 01:05:20 PM,92.46,121.35,,
18,08/27/22 01:05:40 PM,92.46,113.09,,
19,08/27/22 01:06:00 PM,92.46,92.37,,
20,08/27/22 01:06:20 PM,92.38,97.72,,
21,08/27/22 01:06:40 PM,92.46,105.69,,
22,08/27/22 01:07:00 PM,92.46,105.30,,
23,08/27/22 01:07:20 PM,92.38,110.80,,
24,08/27/22 01:07:40 PM,92.46,123.61,,
25,08/27/22 01:08:00 PM,92.46,108.75,,
26,08/27/22 01:08:20 PM,92.38,106.52,,
27,08/27/22 01:08:40 PM,92.46,103.99,,
28,08/27/22 01:09:00 PM,92.46,117.22,,
29,08/27/22 01:09:20 PM,92.46,127.42,,
30,08/27/22 01:09:40 PM,92.46,207.69,,
31,08/27/22 01:10:00 PM,92.54,107.14,,
32,08/27/22 01:10:20 PM,92.54,131.70,,
33,08/27/22 01:10:40 PM,92.54,114.60,,
34,08/27/22 01:11:00 PM,92.54,79.23,,
35,08/27/22 01:11:20 PM,92.77,216.43,,
36,08/27/22 01:11:40 PM,92.77,122.19,,
37,08/27/22 01:12:00 PM,92.69,128.96,,
38,08/27/22 01:12:20 PM,92.69,180.34,,
39,08/27/22 01:12:40 PM,92.61,126.05,,
40,08/27/22 01:13:00 PM,92.61,123.85,,
41,08/27/22 01:13:20 PM,92.54,112.79,,
42,08/27/22 01:13:40 PM,92.54,134.02,,
43,08/27/22 01:14:00 PM,92.54,133.66,,
44,08/27/22 01:14:20 PM,92.61,130.51,,
45,08/27/22 01:14:40 PM,92.61,132.35,,
46,08/27/22 01:15:00 PM,92.54,125.81,,
47,08/27/22 01:15:20 PM,92.54,131.88,,
48,08/27/22 01:15:40 PM,92.54,122.78,,
49,08/27/22 01:16:00 PM,92.54,112.32,,
50,08/27/22 01:16:20 PM,92.54,141.63,,
51,08/27/22 01:16:40 PM,92.61,277.55,,
52,08/27/22 01:17:00 PM,92.77,225.58,,
53,08/27/22 01:17:20 PM,92.84,207.21,,
54,08/27/22 01:17:40 PM,92.77,172.25,,
55,08/27/22 01:18:00 PM,92.69,149.83,,
56,08/27/22 01:18:20 PM,92.54,152.98,,
57,08/27/22 01:18:40 PM,92.54,116.98,,
58,08/27/22 01:19:00 PM,92.46,127.42,,
59,08/27/22 01:19:20 PM,92.46,133.30,,
60,08/27/22 01:19:40 PM,92.46,195.62,,
61,08/27/22 01:20:00 PM,92.46,168.38,,
62,08/27/22 01:20:20 PM,92.46,156.49,,
63,08/27/22 01:20:40 PM,92.46,159.23,,
64,08/27/22 01:21:00 PM,92.38,147.46,,
65,08/27/22 01:21:20 PM,92.38,181.52,,
66,08/27/22 01:21:40 PM,92.38,147.51,,
67,08/27/22 01:22:00 PM,92.46,193.18,,
68,08/27/22 01:22:20 PM,92.38,179.74,,
69,08/27/22 01:22:40 PM,92.38,160.48,,
70,08/27/22 01:23:00 PM,92.23,160.77,,
71,08/27/22 01:23:20 PM,92.23,157.68,,
72,08/27/22 01:23:40 PM,92.23,183.84,,
73,08/27/22 01:24:00 PM,92.30,155.13,,
74,08/27/22 01:24:20 PM,92.30,183.25,,
75,08/27/22 01:24:40 PM,92.23,184.02,,
76,08/27/22 01:25:00 PM,92.30,186.58,,
77,08/27/22 01:25:20 PM,92.30,157.86,,
78,08/27/22 01:25:40 PM,92.30,172.37,,
79,08/27/22 01:26:00 PM,92.23,176.83,,
80,08/27/22 01:26:20 PM,92.23,193.00,,
81,08/27/22 01:26:40 PM,92.23,182.59,,
82,08/27/22 01:27:00 PM,92.15,163.98,,
83,08/27/22 01:27:20 PM,92.23,141.33,,
84,08/27/22 01:27:40 PM,92.23,154.83,,
85,08/27/22 01:28:00 PM,92.15,211.67,,
86,08/27/22 01:28:20 PM,92.23,166.54,,
87,08/27/22 01:28:40 PM,92.23,159.82,,
88,08/27/22 01:29:00 PM,92.23,127.54,,
89,08/27/22 01:29:20 PM,92.15,274.34,,
90,08/27/22 01:29:40 PM,92.23,178.02,,
91,08/27/22 01:30:00 PM,92.30,156.20,,
92,08/27/22 01:30:20 PM,92.23,185.21,,
93,08/27/22 01:30:40 PM,92.30,187.65,,
94,08/27/22 01:31:00 PM,92.23,158.75,,
95,08/27/22 01:31:20 PM,93.69,4870.77,,
96,08/27/22 01:31:40 PM,95.70,5336.92,,
97,08/27/22 01:32:00 PM,96.32,5363.56,,
98,08/27/22 01:32:20 PM,96.86,5283.65,,
99,08/27/22 01:32:40 PM,97.32,5456.79,,
100,08/27/22 01:33:00 PM,97.71,5456.79,,
101,08/27/22 01:33:20 PM,98.02,5317.89,,
102,08/27/22 01:33:40 PM,98.40,5121.92,,
103,08/27/22 01:34:00 PM,98.87,5080.06,,
104,08/27/22 01:34:20 PM,98.95,4855.55,,
105,08/27/22 01:34:40 PM,99.18,5156.17,,
106,08/27/22 01:35:00 PM,99.02,3171.71,,
107,08/27/22 01:35:20 PM,99.49,4971.61,,
