"Plot Title: 20983690"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20983690, SEN S/N: 20983690)","Intensity, lum/ft² (LGR S/N: 20983690, SEN S/N: 20983690)","Button Down (LGR S/N: 20983690)","Button Up (LGR S/N: 20983690)","Host Connected (LGR S/N: 20983690)","End Of File (LGR S/N: 20983690)"
1,10/05/22 08:00:00 AM,77.48,170.23,,,,
2,10/05/22 08:00:20 AM,77.56,50.36,,,,
3,10/05/22 08:00:40 AM,77.79,168.74,,,,
4,10/05/22 08:01:00 AM,77.94,155.54,,,,
5,10/05/22 08:01:20 AM,78.17,153.28,,,,
6,10/05/22 08:01:40 AM,78.33,132.17,,,,
7,10/05/22 08:02:00 AM,78.40,141.87,,,,
8,10/05/22 08:02:20 AM,78.56,145.43,,,,
9,10/05/22 08:02:40 AM,78.79,143.47,,,,
10,10/05/22 08:03:00 AM,78.87,92.75,,,,
11,10/05/22 08:03:20 AM,78.95,32.97,,,,
12,10/05/22 08:03:40 AM,78.95,38.35,,,,
13,10/05/22 08:04:00 AM,79.02,40.76,,,,
14,10/05/22 08:04:20 AM,79.10,41.29,,,,
15,10/05/22 08:04:40 AM,79.02,32.98,,,,
16,10/05/22 08:05:00 AM,79.10,24.44,,,,
17,10/05/22 08:05:20 AM,79.25,25.95,,,,
18,10/05/22 08:05:40 AM,79.25,24.43,,,,
19,10/05/22 08:06:00 AM,79.33,24.12,,,,
20,10/05/22 08:06:20 AM,79.41,24.28,,,,
21,10/05/22 08:06:40 AM,79.33,23.15,,,,
22,10/05/22 08:07:00 AM,79.41,23.38,,,,
23,10/05/22 08:07:20 AM,79.41,25.34,,,,
24,10/05/22 08:07:40 AM,79.49,26.99,,,,
25,10/05/22 08:08:00 AM,79.56,25.72,,,,
26,10/05/22 08:08:20 AM,79.64,25.49,,,,
27,10/05/22 08:08:40 AM,79.64,25.12,,,,
28,10/05/22 08:09:00 AM,79.72,25.95,,,,
29,10/05/22 08:09:20 AM,79.72,26.62,,,,
30,10/05/22 08:09:40 AM,79.72,26.47,,,,
31,10/05/22 08:10:00 AM,79.72,27.54,,,,
32,10/05/22 08:10:20 AM,79.79,33.34,,,,
33,10/05/22 08:10:40 AM,79.87,29.19,,,,
34,10/05/22 08:11:00 AM,79.95,41.06,,,,
35,10/05/22 08:11:20 AM,79.95,39.02,,,,
36,10/05/22 08:11:40 AM,80.03,96.35,,,,
37,10/05/22 08:12:00 AM,80.18,102.65,,,,
38,10/05/22 08:12:20 AM,80.34,51.03,,,,
39,10/05/22 08:12:40 AM,80.34,31.23,,,,
40,10/05/22 08:13:00 AM,80.26,24.36,,,,
41,10/05/22 08:13:20 AM,80.34,33.34,,,,
42,10/05/22 08:13:40 AM,80.34,35.84,,,,
43,10/05/22 08:14:00 AM,80.34,35.76,,,,
44,10/05/22 08:14:20 AM,80.34,36.06,,,,
45,10/05/22 08:14:40 AM,80.49,40.74,,,,
46,10/05/22 08:15:00 AM,80.41,31.32,,,,
47,10/05/22 08:15:20 AM,80.34,29.60,,,,
48,10/05/22 08:15:40 AM,80.41,22.42,,,,
49,10/05/22 08:16:00 AM,80.34,24.22,,,,
