Plot Title: 20983688,,,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 20983688, SEN S/N: 20983688)","Intensity, lum/ft² (LGR S/N: 20983688, SEN S/N: 20983688)",Stopped (LGR S/N: 20983688),End Of File (LGR S/N: 20983688)
1,11/09/22 12:30:00 PM,83.5,72.6,,
2,11/09/22 12:30:20 PM,83.58,56.95,,
3,11/09/22 12:30:40 PM,83.66,160.18,,
4,11/09/22 12:31:00 PM,83.81,339.27,,
5,11/09/22 12:31:20 PM,83.81,311.8,,
6,11/09/22 12:31:40 PM,84.04,269.7,,
7,11/09/22 12:32:00 PM,83.96,242.05,,
8,11/09/22 12:32:20 PM,84.04,239.97,,
9,11/09/22 12:32:40 PM,84.12,272.32,,
10,11/09/22 12:33:00 PM,84.04,290.99,,
11,11/09/22 12:33:20 PM,84.12,251.03,,
12,11/09/22 12:33:40 PM,83.96,259.83,,
13,11/09/22 12:34:00 PM,83.96,313.46,,
14,11/09/22 12:34:20 PM,83.89,281.59,,
15,11/09/22 12:34:40 PM,83.96,355.2,,
16,11/09/22 12:35:00 PM,84.04,381.12,,
17,11/09/22 12:35:20 PM,84.12,392.54,,
18,11/09/22 12:35:40 PM,84.12,420.6,,
19,11/09/22 12:36:00 PM,84.04,56.48,,
20,11/09/22 12:36:20 PM,84.04,51.71,,
21,11/09/22 12:36:40 PM,84.04,49.83,,
22,11/09/22 12:37:00 PM,84.04,197.52,,
23,11/09/22 12:37:20 PM,84.2,350.09,,
24,11/09/22 12:37:40 PM,84.27,310.96,,
25,11/09/22 12:38:00 PM,84.43,328.44,,
26,11/09/22 12:38:20 PM,84.51,262.57,,
27,11/09/22 12:38:40 PM,84.58,289.92,,
28,11/09/22 12:39:00 PM,84.66,279.33,,
29,11/09/22 12:39:20 PM,84.74,274.81,,
30,11/09/22 12:39:40 PM,84.74,297.88,,
31,11/09/22 12:40:00 PM,84.81,296.57,,
32,11/09/22 12:40:20 PM,84.97,404.31,,
33,11/09/22 12:40:40 PM,85.12,357.34,,
34,11/09/22 12:41:00 PM,85.28,327.61,,
35,11/09/22 12:41:20 PM,85.35,429.05,,
36,11/09/22 12:41:40 PM,85.51,429.64,,
37,11/09/22 12:42:00 PM,85.74,414.54,,
38,11/09/22 12:42:20 PM,85.82,450.09,,
