Plot Title: 20983690,,,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 20983690, SEN S/N: 20983690)","Intensity, lum/ft² (LGR S/N: 20983690, SEN S/N: 20983690)",Stopped (LGR S/N: 20983690),End Of File (LGR S/N: 20983690)
1,11/09/22 12:30:00 PM,88.06,128.13,,
2,11/09/22 12:30:20 PM,87.83,111.87,,
3,11/09/22 12:30:40 PM,87.75,395.63,,
4,11/09/22 12:31:00 PM,88.21,1399.87,,
5,11/09/22 12:31:20 PM,88.44,1437.45,,
6,11/09/22 12:31:40 PM,88.6,1014.11,,
7,11/09/22 12:32:00 PM,88.13,447.84,,
8,11/09/22 12:32:20 PM,87.83,438.2,,
9,11/09/22 12:32:40 PM,87.67,1284.76,,
10,11/09/22 12:33:00 PM,87.98,1358.96,,
11,11/09/22 12:33:20 PM,87.9,478.63,,
12,11/09/22 12:33:40 PM,87.44,763.67,,
13,11/09/22 12:34:00 PM,87.59,1480.26,,
14,11/09/22 12:34:20 PM,87.36,1375.14,,
15,11/09/22 12:34:40 PM,87.52,1154.91,,
16,11/09/22 12:35:00 PM,87.59,998.41,,
17,11/09/22 12:35:20 PM,87.83,1019.82,,
18,11/09/22 12:35:40 PM,88.13,1109.72,,
19,11/09/22 12:36:00 PM,87.75,114.13,,
20,11/09/22 12:36:20 PM,87.44,108.27,,
21,11/09/22 12:36:40 PM,87.13,106.49,,
22,11/09/22 12:37:00 PM,86.98,178.19,,
23,11/09/22 12:37:20 PM,86.9,644.28,,
24,11/09/22 12:37:40 PM,87.05,537.26,,
25,11/09/22 12:38:00 PM,87.21,582.45,,
26,11/09/22 12:38:20 PM,87.29,355.44,,
27,11/09/22 12:38:40 PM,87.29,442.96,,
28,11/09/22 12:39:00 PM,87.36,380.05,,
29,11/09/22 12:39:20 PM,87.44,504.44,,
30,11/09/22 12:39:40 PM,87.44,499.21,,
31,11/09/22 12:40:00 PM,87.59,323.45,,
32,11/09/22 12:40:20 PM,87.83,792.45,,
33,11/09/22 12:40:40 PM,88.21,700.65,,
34,11/09/22 12:41:00 PM,88.52,688.76,,
35,11/09/22 12:41:20 PM,88.91,853.57,,
36,11/09/22 12:41:40 PM,89.14,854.76,,
37,11/09/22 12:42:00 PM,89.45,805.06,,
38,11/09/22 12:42:20 PM,89.68,974.63,,
39,11/09/22 12:42:40 PM,89.91,817.66,,
40,11/09/22 12:43:00 PM,90.14,1055.49,,
41,11/09/22 12:43:20 PM,90.22,142.22,,
42,11/09/22 12:43:40 PM,89.91,106.25,,
43,11/09/22 12:44:00 PM,89.6,115.76,,
44,11/09/22 12:44:20 PM,89.83,1087.36,,
45,11/09/22 12:44:40 PM,90.14,919.69,,
46,11/09/22 12:45:00 PM,90.37,1017.92,,
47,11/09/22 12:45:20 PM,90.68,1044.55,,
48,11/09/22 12:45:40 PM,90.76,1031.71,,
49,11/09/22 12:46:00 PM,90.76,894.96,,
50,11/09/22 12:46:20 PM,90.84,975.11,,
51,11/09/22 12:46:40 PM,90.91,916.6,,
52,11/09/22 12:47:00 PM,90.84,950.13,,
53,11/09/22 12:47:20 PM,90.84,1025.05,,
54,11/09/22 12:47:40 PM,90.99,968.68,,
55,11/09/22 12:48:00 PM,91.15,953.7,,
56,11/09/22 12:48:20 PM,91.38,967.5,,
57,11/09/22 12:48:40 PM,91.61,940.62,,
58,11/09/22 12:49:00 PM,91.76,920.17,,
59,11/09/22 12:49:20 PM,91.92,920.17,,
60,11/09/22 12:49:40 PM,92,913.51,,
61,11/09/22 12:50:00 PM,92,908.28,,
62,11/09/22 12:50:20 PM,92,981.77,,
63,11/09/22 12:50:40 PM,92.07,899.24,,
64,11/09/22 12:51:00 PM,92.07,941.81,,
65,11/09/22 12:51:20 PM,92.15,1003.17,,
66,11/09/22 12:51:40 PM,92.38,1137.31,,
67,11/09/22 12:52:00 PM,92.69,1202,,
68,11/09/22 12:52:20 PM,92.77,1172.98,,
69,11/09/22 12:52:40 PM,92.77,1184.87,,
70,11/09/22 12:53:00 PM,92.77,1128.74,,
71,11/09/22 12:53:20 PM,92.54,1003.17,,
72,11/09/22 12:53:40 PM,92.46,952.51,,
73,11/09/22 12:54:00 PM,92.3,922.55,,
74,11/09/22 12:54:20 PM,92.15,881.16,,
75,11/09/22 12:54:40 PM,92,877.6,,
76,11/09/22 12:55:00 PM,91.69,877.12,,
77,11/09/22 12:55:20 PM,91.61,868.08,,
78,11/09/22 12:55:40 PM,91.45,874.5,,
79,11/09/22 12:56:00 PM,91.22,648.09,,
80,11/09/22 12:56:20 PM,90.99,382.19,,
81,11/09/22 12:56:40 PM,90.84,473.28,,
82,11/09/22 12:57:00 PM,90.68,338.08,,
83,11/09/22 12:57:20 PM,90.37,268.04,,
84,11/09/22 12:57:40 PM,90.22,363.52,,
85,11/09/22 12:58:00 PM,90.14,383.62,,
86,11/09/22 12:58:20 PM,89.91,365.66,,
87,11/09/22 12:58:40 PM,89.91,339.62,,
88,11/09/22 12:59:00 PM,89.76,381,,
89,11/09/22 12:59:20 PM,89.76,594.81,,
90,11/09/22 12:59:40 PM,89.83,645,,
91,11/09/22 1:00:00 PM,89.83,369.23,,
92,11/09/22 1:00:20 PM,89.76,596.48,,
93,11/09/22 1:00:40 PM,89.68,446.65,,
94,11/09/22 1:01:00 PM,90.06,2386.87,,
95,11/09/22 1:01:20 PM,90.99,2223.24,,
96,11/09/22 1:01:40 PM,91.69,2139.52,,
97,11/09/22 1:02:00 PM,92,1593.94,,
98,11/09/22 1:02:20 PM,92.69,7968.28,,
99,11/09/22 1:02:40 PM,94,4132.55,,
100,11/09/22 1:03:00 PM,94.7,969.87,,
101,11/09/22 1:03:20 PM,93.46,1810.37,,
102,11/09/22 1:03:40 PM,93.23,2009.19,,
103,11/09/22 1:04:00 PM,92.84,1114.95,,
104,11/09/22 1:04:20 PM,92.3,1923.57,,
105,11/09/22 1:04:40 PM,92.46,1954.97,,
106,11/09/22 1:05:00 PM,92.54,2113.84,,
107,11/09/22 1:05:20 PM,92.61,1720.94,,
108,11/09/22 1:05:40 PM,92.3,1779.45,,
109,11/09/22 1:06:00 PM,92.07,2316.47,,
110,11/09/22 1:06:20 PM,92.3,2148.09,,
111,11/09/22 1:06:40 PM,92.3,1653.87,,
112,11/09/22 1:07:00 PM,92.46,2431.58,,
113,11/09/22 1:07:20 PM,92.46,2159.5,,
114,11/09/22 1:07:40 PM,92.54,2067.22,,
115,11/09/22 1:08:00 PM,92.61,1998.73,,
116,11/09/22 1:08:20 PM,92.61,1752.34,,
117,11/09/22 1:08:40 PM,92.46,2262.25,,
118,11/09/22 1:09:00 PM,92.61,2270.81,,
119,11/09/22 1:09:20 PM,92.61,1197.24,,
120,11/09/22 1:09:40 PM,91.61,604.33,,
121,11/09/22 1:10:00 PM,91.61,1839.86,,
122,11/09/22 1:10:20 PM,91.3,911.13,,
123,11/09/22 1:10:40 PM,91.45,2307.91,,
124,11/09/22 1:11:00 PM,91.15,1878.86,,
125,11/09/22 1:11:20 PM,91.45,2459.17,,
126,11/09/22 1:11:40 PM,91.84,2484.86,,
127,11/09/22 1:12:00 PM,92.23,2302.2,,
128,11/09/22 1:12:20 PM,92.38,2377.36,,
