Plot Title: 20983765,,,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 20983765, SEN S/N: 20983765)","Intensity, lum/ft² (LGR S/N: 20983765, SEN S/N: 20983765)",Stopped (LGR S/N: 20983765),End Of File (LGR S/N: 20983765)
1,11/09/22 12:30:00 PM,89.76,316.91,,
2,11/09/22 12:30:20 PM,89.37,266.96,,
3,11/09/22 12:30:40 PM,89.06,448.31,,
4,11/09/22 12:31:00 PM,88.83,1075.95,,
5,11/09/22 12:31:20 PM,88.75,772,,
6,11/09/22 12:31:40 PM,88.44,556.29,,
7,11/09/22 12:32:00 PM,88.06,528.46,,
8,11/09/22 12:32:20 PM,87.67,535.12,,
9,11/09/22 12:32:40 PM,87.44,577.69,,
10,11/09/22 12:33:00 PM,87.29,578.64,,
11,11/09/22 12:33:20 PM,86.9,510.15,,
12,11/09/22 12:33:40 PM,86.59,529.41,,
13,11/09/22 12:34:00 PM,86.51,750.59,,
14,11/09/22 12:34:20 PM,86.28,575.55,,
15,11/09/22 12:34:40 PM,89.14,5403.51,,
16,11/09/22 12:35:00 PM,90.45,4467.41,,
17,11/09/22 12:35:20 PM,91.53,4119.23,,
18,11/09/22 12:35:40 PM,90.84,1256.7,,
19,11/09/22 12:36:00 PM,89.52,298.6,,
20,11/09/22 12:36:20 PM,88.68,303.71,,
21,11/09/22 12:36:40 PM,88.06,308.23,,
22,11/09/22 12:37:00 PM,87.44,317.5,,
23,11/09/22 12:37:20 PM,86.9,338.31,,
24,11/09/22 12:37:40 PM,86.59,327.37,,
25,11/09/22 12:38:00 PM,86.28,328.56,,
26,11/09/22 12:38:20 PM,86.13,323.09,,
27,11/09/22 12:38:40 PM,85.9,324.88,,
28,11/09/22 12:39:00 PM,85.66,326.07,,
29,11/09/22 12:39:20 PM,85.43,62.79,,
30,11/09/22 12:39:40 PM,85.2,115.5,,
31,11/09/22 12:40:00 PM,84.97,110.53,,
32,11/09/22 12:40:20 PM,84.97,339.27,,
33,11/09/22 12:40:40 PM,85.12,227.78,,
