Plot Title: 21407813,,,,,,,
#,"Date Time, GMT-06:00","Temp, °F (LGR S/N: 21407813, SEN S/N: 21407813)","Intensity, lum/ft² (LGR S/N: 21407813, SEN S/N: 21407813)",Button Down (LGR S/N: 21407813),Button Up (LGR S/N: 21407813),Stopped (LGR S/N: 21407813),End Of File (LGR S/N: 21407813)
1,11/9/2022 12:30,82.96,38.34,,,,
2,11/9/2022 12:30,83.12,225.58,,,,
3,11/9/2022 12:30,83.12,52.5,,,,
4,11/9/2022 12:31,83.19,109.46,,,,
5,11/9/2022 12:31,83.27,69.27,,,,
6,11/9/2022 12:31,83.27,50.02,,,,
7,11/9/2022 12:32,83.27,46.69,,,,
8,11/9/2022 12:32,83.27,66.5,,,,
9,11/9/2022 12:32,83.35,69.15,,,,
10,11/9/2022 12:33,83.35,69.57,,,,
11,11/9/2022 12:33,83.27,46.01,,,,
12,11/9/2022 12:33,83.27,53.62,,,,
13,11/9/2022 12:34,83.19,60.91,,,,
14,11/9/2022 12:34,83.12,66.59,,,,
15,11/9/2022 12:34,83.19,184.85,,,,
16,11/9/2022 12:35,83.35,188.48,,,,
17,11/9/2022 12:35,83.35,171.12,,,,
18,11/9/2022 12:35,83.42,95.34,,,,
19,11/9/2022 12:36,83.42,122.01,,,,
20,11/9/2022 12:36,83.58,142.04,,,,
21,11/9/2022 12:36,83.5,141.39,,,,
22,11/9/2022 12:37,83.58,73.79,,,,
23,11/9/2022 12:37,83.66,123.2,,,,
24,11/9/2022 12:37,83.73,112.94,,,,
25,11/9/2022 12:38,83.89,121.77,,,,
26,11/9/2022 12:38,83.96,109.73,,,,
27,11/9/2022 12:38,84.04,104.59,,,,
28,11/9/2022 12:39,84.04,99.29,,,,
29,11/9/2022 12:39,84.12,131.7,,,,
30,11/9/2022 12:39,84.2,80.06,,,,
31,11/9/2022 12:40,84.27,97.39,,,,
32,11/9/2022 12:40,84.27,81.93,,,,
33,11/9/2022 12:40,84.35,84.07,,,,
34,11/9/2022 12:41,84.35,85.92,,,,
35,11/9/2022 12:41,84.51,78.99,,,,
36,11/9/2022 12:41,84.51,79.11,,,,
37,11/9/2022 12:42,84.74,77.56,,,,
38,11/9/2022 12:42,84.74,97.3,,,,
39,11/9/2022 12:42,84.89,160.71,,,,
40,11/9/2022 12:43,85.05,99.47,,,,
41,11/9/2022 12:43,84.97,37.32,,,,
42,11/9/2022 12:43,84.89,39.49,,,,
43,11/9/2022 12:44,84.89,28.52,,,,
44,11/9/2022 12:44,84.97,73.37,,,,
45,11/9/2022 12:44,85.05,171.48,,,,
46,11/9/2022 12:45,85.2,92.1,,,,
47,11/9/2022 12:45,85.12,88.06,,,,
48,11/9/2022 12:45,85.28,86.81,,,,
49,11/9/2022 12:46,85.35,147.4,,,,
50,11/9/2022 12:46,85.28,97.06,,,,
51,11/9/2022 12:46,85.35,129.44,,,,
52,11/9/2022 12:47,85.43,140.56,,,,
53,11/9/2022 12:47,85.51,150.25,,,,
54,11/9/2022 12:47,85.59,140.62,,,,
55,11/9/2022 12:48,85.66,139.49,,,,
56,11/9/2022 12:48,85.74,156.61,,,,
57,11/9/2022 12:48,85.9,151.44,,,,
58,11/9/2022 12:49,85.9,204.89,,,,
59,11/9/2022 12:49,85.82,145.73,,,,
60,11/9/2022 12:49,85.97,143.71,,,,
61,11/9/2022 12:50,85.97,152.15,,,,
62,11/9/2022 12:50,86.05,146.92,,,,
63,11/9/2022 12:50,85.97,135.5,,,,
64,11/9/2022 12:51,86.05,168.68,,,,
65,11/9/2022 12:51,86.28,158.34,,,,
66,11/9/2022 12:51,86.2,110.47,,,,
67,11/9/2022 12:52,86.2,81.55,,,,
68,11/9/2022 12:52,86.2,88.38,,,,
69,11/9/2022 12:52,86.28,88.06,,,,
70,11/9/2022 12:53,86.28,102.59,,,,
71,11/9/2022 12:53,86.2,155.6,,,,
72,11/9/2022 12:53,86.36,156.61,,,,
73,11/9/2022 12:54,86.44,158.57,,,,
74,11/9/2022 12:54,86.44,147.57,,,,
75,11/9/2022 12:54,86.36,140.62,,,,
76,11/9/2022 12:55,86.36,143.41,,,,
77,11/9/2022 12:55,86.36,141.87,,,,
78,11/9/2022 12:55,86.28,72.42,,,,
79,11/9/2022 12:56,86.36,162.97,,,,
80,11/9/2022 12:56,86.44,154.59,,,,
81,11/9/2022 12:56,86.44,194.31,,,,
82,11/9/2022 12:57,86.44,186.99,,,,
83,11/9/2022 12:57,86.44,176.77,,,,
84,11/9/2022 12:57,86.44,201.09,,,,
85,11/9/2022 12:58,86.67,199.78,,,,
86,11/9/2022 12:58,86.67,201.38,,,,
87,11/9/2022 12:58,86.67,197.1,,,,
88,11/9/2022 12:59,86.74,198.29,,,,
89,11/9/2022 12:59,86.67,159.35,,,,
90,11/9/2022 12:59,86.67,162.14,,,,
91,11/9/2022 13:00,86.74,197.76,,,,
92,11/9/2022 13:00,86.82,182.71,,,,
93,11/9/2022 13:00,86.82,174.92,,,,
94,11/9/2022 13:01,86.9,196.92,,,,
95,11/9/2022 13:01,86.9,227.54,,,,
96,11/9/2022 13:01,86.82,232,,,,
97,11/9/2022 13:02,86.9,230.87,,,,
98,11/9/2022 13:02,86.82,156.2,,,,
99,11/9/2022 13:02,86.82,112.37,,,,
100,11/9/2022 13:03,87.13,7979.7,,,,
101,11/9/2022 13:03,86.98,941.33,,,,
102,11/9/2022 13:03,87.52,1498.33,,,,
103,11/9/2022 13:04,87.13,932.53,,,,
104,11/9/2022 13:04,86.82,831.46,,,,
105,11/9/2022 13:04,87.05,1683.84,,,,
106,11/9/2022 13:05,87.13,631.68,,,,
107,11/9/2022 13:05,86.98,886.39,,,,
108,11/9/2022 13:05,87.36,1729.03,,,,
109,11/9/2022 13:06,87.75,1829.39,,,,
110,11/9/2022 13:06,87.98,1499.28,,,,
111,11/9/2022 13:06,88.06,618.84,,,,
112,11/9/2022 13:07,88.21,1898.36,,,,
113,11/9/2022 13:07,88.44,1691.93,,,,
114,11/9/2022 13:07,88.68,1351.83,,,,
115,11/9/2022 13:08,88.83,1504.52,,,,
116,11/9/2022 13:08,88.91,1335.18,,,,
117,11/9/2022 13:08,89.06,1820.83,,,,
118,11/9/2022 13:09,89.37,1768.03,,,,
119,11/9/2022 13:09,89.29,357.22,,,,
120,11/9/2022 13:09,88.6,343.78,,,,
121,11/9/2022 13:10,88.52,1336.61,,,,
122,11/9/2022 13:10,88.29,504.2,,,,
123,11/9/2022 13:10,88.6,1664.81,,,,
124,11/9/2022 13:11,88.44,1447.91,,,,
125,11/9/2022 13:11,88.83,2028.22,,,,
126,11/9/2022 13:11,89.14,1971.14,,,,
127,11/9/2022 13:12,89.6,1939.27,,,,
128,11/9/2022 13:12,89.91,1993.02,,,,
129,11/9/2022 13:12,90.22,2064.37,,,,
130,11/9/2022 13:13,90.61,2332.64,,,,
131,11/9/2022 13:13,90.68,2168.06,,,,
132,11/9/2022 13:13,90.53,2351.67,,,,
133,11/9/2022 13:14,90.76,2214.68,,,,
134,11/9/2022 13:14,90.99,2298.4,,,,
135,11/9/2022 13:14,91.45,2312.67,,,,
136,11/9/2022 13:15,91.69,1487.39,,,,
137,11/9/2022 13:15,91.84,2293.64,,,,
138,11/9/2022 13:15,92.07,2138.57,,,,
139,11/9/2022 13:16,92.15,2257.49,,,,
140,11/9/2022 13:16,92.23,2332.64,,,,
