date,disturbance_id,line_id,point_name,point_id,coord_x,coord_y,angle_degrees,distance_from_reference_ft,reference_coord_x,reference_coord_y,light_upstream_reference
10/1/2022,1,1,a,a_1_1,-25,25,na,na,na,na,yes
10/1/2022,1,1,b,b_1_1,na,25,165,20,0,25,no
10/1/2022,1,1,c,c_1_1,na,na,165,35,0,25,no
10/1/2022,1,1,d,d_1_1,na,na,165,50,0,25,no
10/1/2022,1,1,e,e_1_1,na,na,165,75,0,25,no
10/1/2022,1,1,f,f_1_1,na,na,165,100,0,25,no
10/1/2022,1,1,h,h_1_1,na,na,165,150,0,25,no
10/1/2022,1,2,i,i_1_2,na,na,195,35,0,25,no
10/1/2022,1,2,j,j_1_2,na,na,195,50,0,25,no
10/1/2022,1,2,k,k_1_2,na,na,195,75,0,25,no
10/1/2022,1,2,l,l_1_2,na,na,195,100,0,25,no
10/1/2022,1,2,g,g_1_2,na,na,195,150,0,25,no
10/1/2022,2,1,a,a_1_1,-25,25,na,na,na,na,yes
10/1/2022,2,1,b,b_2_1,na,25,165,20,0,25,no
10/1/2022,2,1,c,c_2_1,na,na,165,35,0,25,no
10/1/2022,2,1,d,d_2_1,na,na,165,50,0,25,no
10/1/2022,2,1,e,e_2_1,na,na,165,75,0,25,no
10/1/2022,2,1,f,f_2_1,na,na,165,100,0,25,no
10/1/2022,2,1,h,h_2_1,na,na,165,150,0,25,no
10/1/2022,2,2,i,i_2_2,na,na,195,35,0,25,no
10/1/2022,2,2,j,j_2_2,na,na,195,50,0,25,no
10/1/2022,2,2,k,k_2_2,na,na,195,75,0,25,no
10/1/2022,2,2,l,l_2_2,na,na,195,100,0,25,no
10/1/2022,2,2,g,g_2_2,na,na,195,150,0,25,no
10/1/2022,3,1,a,a_3_1,-25,25,na,na,na,na,yes
10/1/2022,3,2,c,c_3_2,50,75,na,na,na,na,no
10/1/2022,3,3,i,i_3_3,50,150,na,na,na,na,no
9/17/2022,1,1,e,e_1_1,na,na,135,20,50,0,no
9/17/2022,1,1,f,f_1_1,na,na,135,35,50,0,no
9/17/2022,1,1,g,g_1_1,na,na,135,50,50,0,no
9/17/2022,1,1,i,i_1_1,na,na,135,75,50,0,no
9/17/2022,1,2,a,a_1_2,na,na,90,20,50,0,yes
9/17/2022,1,2,b,b_1_2,na,na,90,20,50,0,no
9/17/2022,1,2,c,c_1_2,na,na,90,35,50,0,no
